Date,Open,High,Low,Close,Volume,Returns,MA50,MA200,Volatility20,Market_Signal
2000-11-01,1178.25,1203.85,1177.1,1200.8,0,0.023918141121296088,1300.132,1449.0075,0.016918379668356298,Bearish
2000-11-02,1201.25,1226.35,1199.75,1224.85,0,0.020028314457028573,1297.224,1447.1707499999998,0.017648968268054448,Bearish
2000-11-03,1225.0,1249.2,1225.0,1242.05,0,0.014042535820712798,1294.441,1445.1875,0.01801716044752848,Bearish
2000-11-06,1242.15,1261.4,1236.65,1240.25,0,-0.0014492170202486943,1291.525,1443.40975,0.0177861242515063,Bearish
2000-11-07,1239.0,1249.1,1232.35,1246.75,0,0.0052408788550695196,1288.721,1441.5555000000002,0.01709220804724107,Bearish
2000-11-08,1246.65,1277.25,1246.65,1266.8,0,0.016081812713053978,1286.432,1439.823,0.015840830148460223,Bearish
2000-11-09,1266.75,1275.55,1255.95,1269.95,0,0.002486580359962076,1284.4340000000002,1438.0080000000003,0.01583959122348137,Bearish
2000-11-10,1271.35,1271.4,1237.5,1239.55,0,-0.023937950313004497,1281.8709999999999,1436.3432500000001,0.01579321306098586,Bearish
2000-11-13,1239.35,1239.35,1199.95,1208.05,0,-0.025412448065830318,1278.513,1434.2595000000001,0.016992897546319472,Bearish
2000-11-14,1207.2,1246.9,1207.05,1242.85,0,0.02880675468730587,1275.488,1432.36675,0.01757791953907448,Bearish
2000-11-15,1245.0,1270.1,1243.2,1247.05,0,0.003379329766262984,1271.874,1430.48825,0.016747545153157663,Bearish
2000-11-16,1246.6,1254.55,1228.6,1233.25,0,-0.011066116033839779,1267.9740000000002,1428.5965000000003,0.016283756977573165,Bearish
2000-11-17,1232.35,1238.0,1216.9,1236.0,0,0.002229880397324191,1263.987,1426.7430000000002,0.016276858275473767,Bearish
2000-11-20,1236.0,1241.75,1231.05,1237.6,0,0.0012944983818770073,1259.944,1424.7567499999998,0.015026592768102105,Bearish
2000-11-21,1236.95,1237.85,1224.3,1235.0,0,-0.0021008403361343353,1255.643,1422.92625,0.015064804828117654,Bearish
2000-11-22,1235.85,1247.5,1220.05,1222.35,0,-0.010242914979757156,1250.963,1420.935,0.014271706719359296,Bearish
2000-11-23,1221.2,1223.05,1209.85,1216.0,0,-0.005194911441076533,1245.93,1418.947,0.01435401461601469,Bearish
2000-11-24,1216.05,1230.0,1216.05,1225.2,0,0.007565789473684248,1241.3110000000001,1417.141,0.014297317322590057,Bearish
2000-11-27,1225.4,1254.45,1225.35,1252.9,0,0.022608553705517398,1237.463,1415.386,0.014716029790536088,Bearish
2000-11-28,1252.9,1275.45,1248.9,1272.75,0,0.015843243674674712,1234.5739999999998,1413.7542500000002,0.014966351428260976,Bearish
2000-11-29,1272.25,1281.0,1253.45,1264.75,0,-0.006285602042820693,1232.782,1412.3470000000002,0.01438518885938959,Bearish
2000-11-30,1264.75,1272.1,1258.4,1268.15,0,0.0026882783158728163,1231.805,1410.9402499999999,0.013796058618599992,Bearish
2000-12-01,1268.1,1280.5,1255.2,1276.2,0,0.006347829515435777,1230.471,1409.38125,0.013542488572681022,Bearish
2000-12-04,1276.25,1290.0,1273.65,1275.6,0,-0.0004701457451811164,1229.386,1407.7697500000002,0.013533245463008166,Bearish
2000-12-05,1275.7,1288.2,1275.5,1284.65,0,0.007094700533082587,1229.228,1406.1942499999998,0.013566572850145599,Bearish
2000-12-06,1284.85,1319.85,1284.85,1298.55,0,0.010820067722725923,1229.841,1404.504,0.013319434290529359,Bearish
2000-12-07,1298.9,1308.45,1295.1,1302.5,0,0.0030418543760348804,1230.04,1402.70275,0.013322566317339453,Bearish
2000-12-08,1303.3,1317.2,1303.3,1313.7,0,0.008598848368522205,1230.986,1400.8229999999999,0.011992159382841332,Bearish
2000-12-11,1313.7,1333.5,1313.7,1332.15,0,0.014044302352135274,1232.196,1398.9277499999998,0.01018534103757081,Bearish
2000-12-12,1332.2,1341.75,1327.6,1333.35,0,0.0009007994595202629,1233.223,1396.8144999999997,0.00852058165448355,Bearish
2000-12-13,1333.8,1360.8,1333.8,1354.3,0,0.015712303596205013,1234.353,1394.8634999999997,0.00894301589277831,Bearish
2000-12-14,1354.45,1369.5,1346.15,1349.35,0,-0.00365502473602608,1235.645,1393.0975,0.008416450541104882,Bearish
2000-12-15,1349.25,1349.25,1308.15,1312.6,0,-0.02723533553192281,1236.1970000000001,1391.105,0.011018987952526867,Bearish
2000-12-18,1310.15,1321.65,1297.2,1317.6,0,0.0038092335822033085,1237.203,1388.9825,0.011012021281457349,Bearish
2000-12-19,1317.75,1325.6,1307.0,1310.5,0,-0.00538858530661801,1238.634,1386.9460000000001,0.011119248935044686,Bearish
2000-12-20,1312.8,1313.4,1285.45,1295.25,0,-0.01163677985501721,1240.501,1384.6547500000001,0.011210811780718167,Bearish
2000-12-21,1294.25,1294.25,1257.1,1277.4,0,-0.013781123335263379,1241.924,1382.3464999999999,0.01169356161420139,Bearish
2000-12-22,1278.95,1292.8,1237.3,1242.0,0,-0.02771254109910759,1243.229,1380.0744999999997,0.013426513913988154,Bearish
2000-12-26,1242.05,1248.5,1207.95,1212.0,0,-0.024154589371980673,1243.96,1377.4744999999998,0.013494384059489047,Bearish
2000-12-27,1212.15,1239.0,1208.75,1228.3,0,0.013448844884488498,1245.365,1375.06375,0.01334151265268151,Bearish
2000-12-28,1229.35,1253.6,1229.35,1248.95,0,0.01681185378164951,1247.624,1372.6957499999999,0.013910384043786243,Bearish
2000-12-29,1249.0,1265.9,1242.25,1263.55,0,0.01168981944833658,1249.572,1370.7395,0.01416351110751156,Bearish
2001-01-01,1263.5,1276.15,1250.65,1254.3,0,-0.007320644216691097,1251.218,1368.4475,0.014166508136243603,Bearish
